,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
8650,TRLH3/1001530048,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001530048?gameHash=5fdb27e098f538df&amp;tab=overview,EU LCS,2016,Spring,0,2016-02-18 20:05:42,1,6.03,100,Blue,team,,Fnatic,,Poppy,Braum,Gangplank,,,2231,1,19,23,49,19,23,2.0,2.0,0.0,0.0,0.0,,,,0.511,1.1295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,7.0,5.0,0.0,0.0,1.0,0.0,81578.0,2193.9399,,3395.8494,0.0,154.0,4.1416,44.0,1.1833,25.0,0.0,0.0,66316,42284.0,1137.1762,,57485.0,-0.122479,,830.0,137.0,122.0,15.0,26.0063,14384.0,15503.0,234.0,19600.0,17425.0,258.0,-5216.0,-1922.0,-24.0,1.0,2.0,6.0,6.0,10.0,1.0,23174.0,26470.0,404.0,28609.0,28044.0,415.0,-5435.0,-1574.0,-11.0,3.0,4.0,10.0,10.0,22.0,3.0
8951,TRLH3/1001530083,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001530083?gameHash=ec8b3910f28d7d77&amp;tab=overview,EU LCS,2016,Spring,0,2016-02-19 20:05:55,1,6.03,200,Red,team,,Fnatic,,Poppy,Fiora,Gangplank,,,2030,0,0,13,0,0,13,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.3842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,9.0,0.0,1.0,0.0,1.0,34636.0,1023.7241,,2175.6355,0.0,131.0,3.8719,45.0,1.33,19.0,0.0,0.0,50733,28751.0,849.7833,,45800.0,-0.236342,,922.0,105.0,87.0,18.0,30.3547,16161.0,15870.0,267.0,15959.0,17115.0,275.0,202.0,-1245.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,23229.0,25988.0,426.0,24132.0,28314.0,461.0,-903.0,-2326.0,-35.0,0.0,0.0,1.0,1.0,1.0,0.0
10679,TRLH3/1001530113,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001530113?gameHash=2ba77a5baaef2c3b&amp;tab=overview,EU LCS,2016,Spring,0,2016-02-25 18:56:26,1,6.03,200,Red,team,,Fnatic,,Alistar,Poppy,Lucian,,,2214,0,13,11,36,13,11,1.0,0.0,0.0,0.0,1.0,,,,0.3523,0.6504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,9.0,0.0,0.0,0.0,1.0,64958.0,1760.3794,,3043.2249,0.0,146.0,3.9566,50.0,1.355,30.0,0.0,0.0,60367,36508.0,989.3767,,58875.0,-0.10004,,952.0,119.0,113.0,6.0,29.0244,15285.0,18318.0,246.0,15090.0,18169.0,280.0,195.0,149.0,-34.0,4.0,9.0,2.0,2.0,5.0,4.0,22767.0,28382.0,419.0,24885.0,29457.0,490.0,-2118.0,-1075.0,-71.0,4.0,9.0,2.0,2.0,5.0,4.0
11014,TRLH3/1001540126,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001540126?gameHash=7134944ea0a3f809&amp;tab=overview,EU LCS,2016,Spring,0,2016-02-26 20:19:57,1,6.03,100,Blue,team,,Fnatic,,Rammus,Corki,Gragas,,,2166,1,13,8,35,13,8,1.0,0.0,0.0,0.0,0.0,,,,0.3601,0.5817,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,4.0,1.0,1.0,1.0,0.0,76474.0,2118.3934,,2129.8892,0.0,145.0,4.0166,69.0,1.9114,26.0,0.0,0.0,69321,45952.0,1272.9086,,59875.0,0.0611015,,1071.0,155.0,111.0,44.0,33.9612,14850.0,15849.0,266.0,15098.0,16271.0,259.0,-248.0,-422.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,22961.0,26601.0,455.0,22594.0,26376.0,425.0,367.0,225.0,30.0,2.0,2.0,1.0,1.0,1.0,2.0
12947,TREU/1001120615,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TREU/1001120615?gameHash=16272b8c7fb5b904&amp;tab=overview,IEM,2016,,0,2016-03-05 13:12:27,1,6.03,200,Red,team,,Fnatic,,Viktor,Nidalee,Alistar,,,2413,0,4,12,13,4,12,1.0,0.0,0.0,0.0,0.0,,,,0.0995,0.3978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,8.0,1.0,1.0,0.0,1.0,36948.0,918.7236,,1997.1819,0.0,172.0,4.2768,86.0,2.1384,38.0,0.0,0.0,65855,39966.0,993.7671,,62255.0,-0.0385176,,1184.0,184.0,162.0,22.0,34.0157,15259.0,15878.0,273.0,15051.0,15685.0,240.0,208.0,193.0,33.0,0.0,0.0,2.0,2.0,4.0,0.0,22989.0,24782.0,427.0,23935.0,25906.0,394.0,-946.0,-1124.0,33.0,0.0,0.0,4.0,4.0,9.0,0.0
12970,TREU/1001120634,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TREU/1001120634?gameHash=e80bc0b6ea3bc76d&amp;tab=overview,IEM,2016,,0,2016-03-05 15:32:46,1,6.03,100,Blue,team,,Fnatic,,Fiora,Bard,Kalista,,,2376,0,7,16,16,7,16,0.0,0.0,0.0,0.0,1.0,,,,0.1768,0.5808,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,10.0,0.0,0.0,0.0,3.0,82672.0,2087.6768,,3046.1616,0.0,143.0,3.6111,56.0,1.4141,27.0,0.0,0.0,62647,37136.0,937.7778,,60380.0,-0.129275,,1157.0,114.0,108.0,6.0,32.096,14039.0,17766.0,256.0,14870.0,18419.0,279.0,-831.0,-653.0,-23.0,1.0,1.0,2.0,2.0,4.0,1.0,21634.0,26203.0,395.0,24771.0,28589.0,434.0,-3137.0,-2386.0,-39.0,2.0,2.0,4.0,4.0,9.0,2.0
12983,TREU/1001120640,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TREU/1001120640?gameHash=2afa6d834aed724f&amp;tab=overview,IEM,2016,,0,2016-03-05 16:34:47,2,6.03,200,Red,team,,Fnatic,,Bard,Lulu,Udyr,,,3493,1,33,27,82,33,27,2.0,0.0,0.0,0.0,0.0,,,,0.5668,1.0306,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,9.0,8.0,0.0,0.0,4.0,2.0,159066.0,2732.3103,,3384.3058,0.0,204.0,3.5042,104.0,1.7864,35.0,0.0,0.0,106199,69294.0,1190.2777,,95700.0,-0.0429448,,1436.0,194.0,165.0,29.0,27.9989,13309.0,15343.0,243.0,14655.0,16820.0,240.0,-1346.0,-1477.0,3.0,1.0,1.0,3.0,3.0,5.0,1.0,21408.0,24619.0,367.0,24774.0,26215.0,374.0,-3366.0,-1596.0,-7.0,5.0,12.0,5.0,5.0,9.0,5.0
12994,TREU/1001120669,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TREU/1001120669?gameHash=3a7509ba17901bb4&amp;tab=overview,IEM,2016,,0,2016-03-05 17:58:34,3,6.03,100,Blue,team,,Fnatic,,Bard,Udyr,Fiora,,,1929,1,18,9,53,18,9,2.0,0.0,0.0,0.0,0.0,,,,0.5599,0.8398,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,7.0,4.0,0.0,0.0,1.0,0.0,68281.0,2123.8258,,2679.5023,0.0,110.0,3.4215,46.0,1.4308,26.0,0.0,0.0,59301,38349.0,1192.8149,,49910.0,-0.050581,,815.0,94.0,85.0,9.0,28.2737,13653.0,15094.0,236.0,16306.0,16080.0,263.0,-2653.0,-986.0,-27.0,0.0,0.0,2.0,2.0,4.0,0.0,22315.0,25239.0,390.0,23354.0,24790.0,427.0,-1039.0,449.0,-37.0,3.0,9.0,2.0,2.0,4.0,3.0
13007,TREU/1001120684,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TREU/1001120684?gameHash=4e1e413735b5eaf6&amp;tab=overview,IEM,2016,,0,2016-03-05 19:05:31,1,6.03,200,Red,team,,Fnatic,,Viktor,Nidalee,Lulu,,,2092,0,6,18,11,6,18,0.0,0.0,0.0,0.0,0.0,,,,0.1721,0.6883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,11.0,0.0,0.0,0.0,2.0,55158.0,1581.9694,,3010.2103,0.0,122.0,3.499,54.0,1.5488,18.0,0.0,0.0,55994,33380.0,957.3614,,53785.0,-0.111316,,946.0,122.0,97.0,25.0,30.631,14161.0,18312.0,284.0,14194.0,17469.0,271.0,-33.0,843.0,13.0,0.0,0.0,1.0,1.0,2.0,0.0,22644.0,27399.0,431.0,23387.0,26982.0,407.0,-743.0,417.0,24.0,2.0,3.0,3.0,3.0,6.0,2.0
13018,TREU/1001120688,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TREU/1001120688?gameHash=6445d069641cd6b5&amp;tab=overview,IEM,2016,,0,2016-03-05 20:10:34,2,6.03,100,Blue,team,,Fnatic,,Braum,Lucian,Lissandra,,,1647,1,27,12,62,27,12,5.0,2.0,0.0,0.0,0.0,,,,0.9836,1.4208,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,8.0,1.0,1.0,1.0,1.0,0.0,60760.0,2213.4791,,2604.2987,0.0,97.0,3.5337,41.0,1.4936,18.0,0.0,0.0,56949,38874.0,1416.1749,,48175.0,0.106932,,664.0,97.0,72.0,25.0,27.7231,14667.0,15379.0,229.0,14357.0,16177.0,262.0,310.0,-798.0,-33.0,3.0,2.0,2.0,2.0,6.0,4.0,22707.0,25283.0,360.0,23295.0,27517.0,439.0,-588.0,-2234.0,-79.0,6.0,7.0,5.0,5.0,13.0,7.0
