,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Varus,10,7,3,70%,3.7,1.3,2.7,4.92,401.7,11.13,17.1,473,60.4%,34.9%,25.4%
Sivir,7,4,3,57.1%,2.57,1.14,4.29,6,372,11.73,15.3,482,71.6%,26.9%,25.7%
Xayah,7,4,3,57.1%,3.86,0.86,2.71,7.67,364.43,11.04,15.4,465,57.5%,33.8%,25.6%
Ezreal,6,5,1,83.3%,4.17,0.5,4.67,17.67,385.17,10.53,17.2,470,72.6%,34.2%,25.3%
Kai'Sa,6,4,2,66.7%,4.5,1.83,2.83,4,356.33,10.58,15.4,456,64.7%,39.7%,25.1%
Kalista,3,2,1,66.7%,3.67,0,4,23,398.33,11.27,17,480,71.9%,34.4%,25.8%
Sona,2,0,2,0%,0,2.5,2.5,1,134.5,4.81,8.3,295,55.6%,0%,18.6%
Ashe,1,0,1,0%,4,3,5,3,389,10.32,16.6,439,69.2%,30.8%,25.5%
Lucian,1,0,1,0%,2,0,2,4,534,12.2,19.7,451,44.4%,22.2%,25.8%
