,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Karthus,3,2,1,66.7%,4,2.67,7.67,4.38,291.33,7.79,14.9,399,74.5%,25.5%,23%
Trundle,3,2,1,66.7%,2.67,2,6.33,4.5,166.33,5.39,10.2,332,71.1%,21.1%,18.8%
Olaf,1,1,0,100%,4,1,4,8,242,6.82,14.1,398,61.5%,30.8%,21.9%
Poppy,1,1,0,100%,4,0,6,10,174,5.63,11.4,368,76.9%,30.8%,19.3%
Qiyana,1,1,0,100%,4,2,8,6,226,5.9,13.6,355,66.7%,22.2%,19.1%
Sejuani,1,1,0,100%,4,2,15,9.5,188,5.84,11.9,368,76%,16%,19.3%
Pantheon,1,0,1,0%,2,3,8,3.33,163,5.48,9.3,312,90.9%,18.2%,19.4%
