,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Kennen,2,1,1,50%,4.5,2.5,3.5,3.2,285.5,7.64,14.4,385,72.7%,40.9%,21.8%
Jax,1,1,0,100%,4,0,7,11,324,9.14,15.6,442,68.8%,25%,24.4%
Aatrox,1,0,1,0%,1,3,1,0.67,244,7.75,10.4,330,50%,25%,21.4%
Gangplank,1,0,1,0%,1,4,6,1.75,345,7.81,16.9,383,50%,7.1%,22.8%
