,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Braum,4,4,0,100%,0.75,0.5,14,29.5,76,2.22,9.4,276,85.5%,4.3%,14.1%
Rakan,3,1,2,33.3%,0,2,6.67,3.33,12.33,0.39,7.3,233,71.4%,0%,13.5%
Taric,2,1,1,50%,1,2.5,10,4.4,119.5,3.45,10.2,294,75.9%,6.9%,15.3%
