,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Lucian,2,2,0,100%,5.5,1,8,13.5,402.5,10.07,18.4,459,73%,29.7%,24.8%
Wukong,2,1,1,50%,2.5,2.5,6,3.4,291.5,9.1,12.4,386,70.8%,20.8%,21.7%
Camille,1,1,0,100%,2,1,5,7,351,11.17,15.3,485,41.2%,11.8%,24.2%
Akali,1,0,1,0%,2,4,0,0.5,242,8.02,10.4,343,40%,40%,22.3%
Shen,1,0,1,0%,1,5,1,0.4,255,8.43,10.8,358,66.7%,33.3%,23.4%
