,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Alistar,5,4,1,80%,1.2,2.4,9.4,4.42,61.8,1.8,10.1,295,71.6%,8.1%,15.5%
Braum,5,3,2,60%,1.2,2,11.2,6.2,70.4,2.04,10.4,301,75.6%,7.3%,15.9%
Rakan,4,3,1,75%,1.75,1.5,11.75,9,12.75,0.38,9.7,291,87.1%,11.3%,15.8%
Shen,1,1,0,100%,3,2,16,9.5,70,2.05,12.4,363,86.4%,13.6%,17.8%
Galio,1,0,1,0%,1,4,7,2,66,2.02,8.6,263,50%,6.3%,14.4%
Gragas,1,0,1,0%,0,5,3,0.6,39,1.51,5.7,222,100%,0%,14.7%
Thresh,1,0,1,0%,0,3,2,0.67,4,0.12,6.9,200,40%,0%,12.4%
