,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Elise,3,1,2,33.3%,2.67,2.67,4,2.5,167,4.84,10.4,301,71.4%,28.6%,17.8%
Gragas,2,1,1,50%,0.5,2.5,10,4.2,208,4.94,12.3,292,75%,3.6%,16.8%
Rek'Sai,1,1,0,100%,3,1,5,8,197,6.91,10.9,382,38.1%,14.3%,18.8%
Jarvan IV,1,0,1,0%,0,7,5,0.71,143,3.85,8.4,227,100%,0%,14.7%
