,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Rakan,3,3,0,100%,0,1,13,13,19,0.58,8.4,258,75%,0%,13%
Braum,3,2,1,66.7%,0,1,5,5,87,2.34,9.9,265,62.5%,0%,14.3%
Tahm Kench,3,2,1,66.7%,0,1.67,9,5.4,75,2.07,9.5,261,64.3%,0%,13.7%
Alistar,1,1,0,100%,0,4,8,2,53,1.42,8.8,235,33.3%,0%,12%
Karma,1,1,0,100%,1,1,9,10,22,0.67,8.7,263,62.5%,6.3%,14.3%
Leona,1,1,0,100%,1,2,11,6,48,1.85,7.1,273,40%,3.3%,12.9%
Pyke,1,1,0,100%,5,0,11,16,47,1.72,9.7,355,59.3%,18.5%,16%
