,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Jarvan IV,3,0,3,0%,1.67,2.67,1.33,1.13,240,7.87,10.3,339,81.8%,45.5%,21.9%
Jayce,2,2,0,100%,4,0.5,4.5,17,306.5,9.26,15.6,472,58.6%,27.6%,24.2%
Irelia,2,1,1,50%,7.5,3.5,4.5,3.43,250,8.6,14,480,77.4%,48.4%,26.1%
Jax,2,1,1,50%,4.5,2,1,2.75,360.5,9.24,17.1,438,57.9%,47.4%,24.7%
Sylas,2,1,1,50%,2.5,3.5,2.5,1.43,207.5,7.84,10.2,385,45.5%,22.7%,21.8%
Kennen,1,1,0,100%,4,5,4,1.6,330,8.14,15.7,388,47.1%,23.5%,20.8%
