,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Renekton,4,3,1,75%,3,1.5,6.5,6.33,264.25,8.15,13.4,412,61.3%,19.4%,21.1%
Camille,4,2,2,50%,2.75,2.5,5.75,3.4,309.25,8.58,14.4,399,55.7%,18%,21.6%
Gragas,3,1,2,33.3%,1.33,3.33,2,1,260,7.77,11.7,349,47.6%,19%,20.7%
Irelia,1,1,0,100%,2,5,7,1.8,317,9.5,13.8,414,47.4%,10.5%,20.8%
Akali,1,0,1,0%,4,7,2,0.86,215,5.92,11.5,316,42.9%,28.6%,19.2%
Gangplank,1,0,1,0%,2,2,3,2.5,357,10.01,16.7,467,83.3%,33.3%,26.2%
Gnar,1,0,1,0%,0,5,2,0.4,241,7.22,10.1,302,40%,0%,19.4%
Jayce,1,0,1,0%,3,4,4,1.75,283,8.33,13.9,409,63.6%,27.3%,24.5%
