,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Olaf,1,1,0,100%,12,2,8,10,195,6.09,14.7,459,71.4%,42.9%,22%
Taliyah,1,1,0,100%,8,4,9,4.25,172,6.55,11.7,445,73.9%,34.8%,22%
Ekko,1,0,1,0%,2,2,3,2.5,219,6.56,11.3,339,100%,40%,20.7%
Lillia,1,0,1,0%,1,6,3,0.67,179,6.05,9.2,310,80%,20%,19.6%
Pantheon,1,0,1,0%,1,3,4,1.67,190,5.6,10.1,299,55.6%,11.1%,18.3%
