,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Ezreal,3,2,1,66.7%,6,1.67,7.67,8.2,293.67,9.38,14.6,466,70.7%,31%,24.4%
Sivir,2,1,1,50%,2.5,2.5,6.5,3.6,391,10.08,16.1,414,72%,20%,23%
Xayah,2,1,1,50%,5,2,6,5.5,332.5,9.91,15.1,450,66.7%,30.3%,24.1%
Lucian,2,0,2,0%,2.5,3.5,2,1.29,295.5,8.68,12.9,380,50%,27.8%,23.7%
Kai'Sa,1,1,0,100%,9,0,9,18,330,9.27,17.3,485,62.1%,31%,24.4%
Sona,1,1,0,100%,5,3,14,6.33,126,4.04,12.7,407,95%,25%,21%
Kalista,1,0,1,0%,1,1,2,3,266,9.44,10.3,367,33.3%,11.1%,22.9%
Yasuo,1,0,1,0%,1,5,9,2,244,7.28,12.4,369,55.6%,5.6%,20.1%
