,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Galio,6,4,2,66.7%,2.67,1.5,4,4.44,280,9.22,-,-,66.7%,26.7%,-
Ryze,2,1,1,50%,2,2.5,5,2.8,320,8.97,13.8,387,60.9%,17.4%,21.3%
Katarina,1,1,0,100%,2,1,2,4,291,8.69,-,-,66.7%,33.3%,-
Lissandra,1,0,1,0%,2,4,1,0.75,309,8.39,-,-,33.3%,22.2%,-
Zoe,1,0,1,0%,0,3,2,0.67,276,8.83,10.8,345,33.3%,0%,21.9%
