,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Alistar,1,1,0,100%,5,1,12,17,38,1.39,8.6,314,70.8%,20.8%,14.6%
Braum,1,1,0,100%,0,0,14,14,59,1.81,8.9,274,87.5%,0%,14.1%
Rakan,1,1,0,100%,0,2,12,6,28,0.84,8.4,253,85.7%,0%,12.9%
