,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Sett,2,1,1,50%,1.5,4,7,2.13,51.5,1.62,7.9,250,63%,11.1%,14.7%
Bard,1,1,0,100%,1,0,19,20,50,1.54,8.6,265,87%,4.3%,13.4%
Pantheon,1,1,0,100%,4,1,10,14,53,1.85,9.2,320,63.6%,18.2%,15.8%
Lux,1,0,1,0%,0,1,2,2,54,1.44,8,212,50%,0%,13.3%
Rakan,1,0,1,0%,0,3,1,0.33,57,1.78,6.6,207,50%,0%,13.9%
