,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Elise,1,1,0,100%,4,5,9,2.6,243,5.17,16.1,343,72.2%,22.2%,18.1%
Lee Sin,1,0,1,0%,5,4,4,2.25,107,3.35,9.9,310,60%,33.3%,18.9%
Nocturne,1,0,1,0%,0,4,1,0.25,107,4.47,6.3,263,100%,0%,18.3%
