,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Braum,4,3,1,75%,0.75,1.5,6.75,5,32.75,1.03,7.7,242,73.2%,7.3%,13.4%
Tahm Kench,4,3,1,75%,0.5,2.5,7.5,3.2,65,1.88,8.2,237,53.3%,3.3%,13.1%
Nautilus,4,2,2,50%,2,2.25,8.5,4.67,32.25,1.01,8.1,253,76.4%,14.5%,14.1%
Yuumi,2,1,1,50%,0.5,1,8,8.5,4.5,0.13,7,200,89.5%,5.3%,12.7%
Leona,2,0,2,0%,0,3,3,1,38.5,1.13,6.7,198,66.7%,0%,13.2%
Rakan,1,0,1,0%,0,4,4,1,38,1.23,6.3,204,66.7%,0%,12.6%
Sett,1,0,1,0%,1,5,4,1,40,1.24,7,218,71.4%,14.3%,14.1%
