,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Tahm Kench,3,3,0,100%,1,2.67,13.33,5.38,31.33,0.97,8.2,254,60.6%,4.2%,12.7%
Rakan,3,2,1,66.7%,0.33,3.33,10.67,3.3,36.67,1.21,7,230,71.7%,2.2%,12.7%
Pantheon,2,1,1,50%,3,4.5,7,2.22,51.5,1.66,8.1,262,69%,20.7%,14.4%
Bard,1,1,0,100%,0,3,17,5.67,54,1.26,10.1,237,89.5%,0%,13.4%
Leona,1,1,0,100%,3,1,11,14,41,1.22,8.9,265,56%,12%,13.4%
Alistar,1,0,1,0%,3,6,5,1.33,32,0.93,8,231,72.7%,27.3%,13.9%
Nautilus,1,0,1,0%,0,2,1,0.5,25,1.31,3.9,205,50%,0%,13.6%
Senna,1,0,1,0%,1,4,2,0.75,26,1.12,5.9,253,75%,25%,15.1%
Sett,1,0,1,0%,1,7,10,1.57,68,1.54,9.4,214,52.4%,4.8%,11.9%
