,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Alistar,5,3,2,60%,0.6,2,9.2,4.9,47.6,1.36,7.8,223,59%,3.6%,12.3%
Rakan,2,2,0,100%,1.5,2,16,8.75,24,0.64,9.6,256,67.3%,5.8%,13.5%
Morgana,2,1,1,50%,1.5,2.5,13,5.8,19.5,0.62,8.8,282,70.7%,7.3%,14.8%
Leona,1,0,1,0%,1,3,1,0.67,54,2.07,6.1,232,66.7%,33.3%,14.7%
Thresh,1,0,1,0%,1,3,8,3,14,0.39,8,227,81.8%,9.1%,14.2%
