,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Alistar,5,1,4,20%,0.2,3,5.8,2,58,1.81,7.3,227,69.8%,2.3%,13.4%
Thresh,4,2,2,50%,0.75,2.25,7.75,3.78,10.5,0.35,7.6,253,72.3%,6.4%,14%
Gragas,3,3,0,100%,1,2.33,6.33,3.14,59.67,1.8,10.5,316,66.7%,9.1%,15.4%
Tahm Kench,2,0,2,0%,0.5,3,3,1.17,72,2.24,7.5,235,77.8%,11.1%,14.2%
Blitzcrank,1,1,0,100%,1,1,7,8,46,1.76,8.5,324,53.3%,6.7%,15.5%
Galio,1,1,0,100%,0,0,11,11,81,2.33,9.3,266,68.8%,0%,13.6%
Morgana,1,1,0,100%,0,2,15,7.5,22,0.54,10.6,260,83.3%,0%,13.2%
Pyke,1,0,1,0%,2,2,0,1,65,2.17,8.9,295,100%,100%,17.8%
Shen,1,0,1,0%,1,1,4,5,51,2.21,5.3,228,71.4%,14.3%,14%
