,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Sett,4,2,2,50%,1.5,4.25,3.75,1.24,215.25,6.71,10.8,337,43.8%,12.5%,19.6%
Renekton,3,2,1,66.7%,1.33,2,5.33,3.33,305,8.21,14.1,379,48.8%,9.8%,21.9%
Camille,1,0,1,0%,5,4,5,2.5,218,7.06,12,388,83.3%,41.7%,22.8%
