,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Aatrox,8,7,1,87.5%,2,1,6.13,8.13,259.38,8.59,12,397,50.8%,12.5%,20.6%
Jayce,5,4,1,80%,5.2,2,5.2,5.2,281.6,8.84,14.9,467,55.9%,28%,24.2%
Kennen,4,4,0,100%,4.5,2.5,5.5,4,214,8.12,11.9,452,52.6%,23.7%,22%
Irelia,4,3,1,75%,4.75,3.75,5.5,2.73,300.25,8.88,14.8,437,57.7%,26.8%,22.4%
Karma,3,2,1,66.7%,1,3.33,10,3.3,223.33,7.06,11.2,355,67.3%,6.1%,19.1%
Ryze,3,2,1,66.7%,2.33,2,3,2.67,322.67,10.14,14.6,458,61.5%,26.9%,24.3%
Neeko,2,2,0,100%,0.5,2,6,3.25,237.5,7.03,11.7,345,52%,4%,18.8%
Akali,1,1,0,100%,3,1,8,11,278,7.57,14.2,387,64.7%,17.6%,20.8%
Camille,1,1,0,100%,3,5,7,2,350,8.52,17.5,425,66.7%,20%,23.4%
Corki,1,1,0,100%,1,6,12,2.17,243,8.19,11.6,392,54.2%,4.2%,18.1%
Jax,1,1,0,100%,2,3,4,2,212,8.37,10,396,40%,13.3%,19.8%
Mordekaiser,1,0,1,0%,3,3,3,2,342,8.26,16.5,398,40%,20%,22%
Sylas,1,0,1,0%,2,1,4,6,290,9.18,11.9,377,66.7%,22.2%,22.4%
Vladimir,1,0,1,0%,3,5,0,0.6,253,7.76,12.9,395,60%,60%,23.9%
