,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Lee Sin,2,1,1,50%,1.5,2,4.5,3,158,5.41,9.1,311,70.6%,17.6%,18.1%
Elise,1,1,0,100%,1,3,6,2.33,199,4.73,12.7,301,53.8%,7.7%,16.9%
Rek'Sai,1,0,1,0%,7,2,5,6,184,5.26,12.1,346,80%,46.7%,20.1%
