,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Karma,2,2,0,100%,2,1,9.5,11.5,26.5,0.84,8.2,262,62.2%,10.8%,13.2%
Nautilus,2,1,1,50%,0,3,6,2,39,1.31,6.4,215,57.1%,0%,12.5%
Morgana,2,0,2,0%,0.5,2.5,8,3.4,27.5,0.71,8.6,222,70.8%,4.2%,12.8%
Pyke,1,1,0,100%,2,0,1,3,46,1.31,9.1,257,33.3%,22.2%,13.2%
Jarvan IV,1,0,1,0%,0,2,1,0.5,20,0.65,6.2,204,33.3%,0%,13%
Tahm Kench,1,0,1,0%,0,5,4,0.8,38,1.09,7.1,204,66.7%,0%,12.3%
