,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Nautilus,3,1,2,33.3%,1.67,4,3.67,1.33,30.67,1.06,6.8,236,66.7%,20.8%,14.3%
Braum,1,1,0,100%,0,3,13,4.33,31,0.68,10,219,81.3%,0%,12.7%
Sett,1,1,0,100%,0,2,6,3,48,1.52,8.2,260,75%,0%,14.2%
Ziggs,1,1,0,100%,0,0,7,7,12,0.49,7,286,53.8%,0%,14.8%
Tahm Kench,1,0,1,0%,0,6,1,0.17,37,0.88,7.8,186,50%,0%,12.3%
