,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
25655,TRLH1/1001720170,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001720170?gameHash=5905d606461c5597&amp;tab=overview,NA LCS,2016,Summer,0,2016-06-04 20:10:47,2,6.1,200,Red,team,,Cloud9,,Nidalee,Ryze,Swain,,,2616,1,35,14,106,35,14,5.0,3.0,1.0,0.0,1.0,,,,0.8028,1.1239,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,3.0,0.0,0.0,1.0,0.0,127691.0,2928.6927,,3362.0872,0.0,158.0,3.6239,63.0,1.445,25.0,0.0,0.0,86526,58567.0,1343.2798,,79200.0,0.155909,,1026.0,168.0,131.0,37.0,27.3853,15230.0,16236.0,221.0,15231.0,16740.0,244.0,-1.0,-504.0,-23.0,3.0,6.0,2.0,2.0,4.0,3.0,23347.0,26496.0,396.0,23228.0,26862.0,414.0,119.0,-366.0,-18.0,4.0,8.0,2.0,2.0,4.0,4.0
25678,TRLH1/1001720176,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001720176?gameHash=67f1feafdf188b05&amp;tab=overview,NA LCS,2016,Summer,0,2016-06-04 21:25:40,3,6.1,100,Blue,team,,Cloud9,,Swain,Ekko,Nidalee,,,2610,0,9,17,24,9,17,0.0,0.0,0.0,0.0,0.0,,,,0.2069,0.5977,0.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,10.0,0.0,0.0,0.0,2.0,68015.0,1563.5632,,3366.8966,0.0,166.0,3.8161,59.0,1.3563,40.0,0.0,0.0,72747,44849.0,1031.0115,,69445.0,-0.0948527,,1158.0,191.0,167.0,24.0,31.0115,14717.0,14815.0,232.0,15563.0,15648.0,233.0,-846.0,-833.0,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,22599.0,24219.0,392.0,23989.0,25137.0,377.0,-1390.0,-918.0,15.0,1.0,3.0,3.0,3.0,4.0,1.0
25991,TRLH1/1001710240,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001710240?gameHash=c07acf54b1d57c2a&amp;tab=overview,NA LCS,2016,Summer,0,2016-06-05 22:26:08,1,6.1,200,Red,team,,Cloud9,,Ryze,Nidalee,Swain,,,1773,0,3,7,6,3,7,0.0,0.0,0.0,0.0,1.0,,,,0.1015,0.3384,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,1.0,45118.0,1526.8359,,2682.0305,0.0,92.0,3.1134,30.0,1.0152,21.0,0.0,0.0,45178,25817.0,873.6717,,43275.0,0.0116212,,760.0,132.0,101.0,31.0,30.1861,14401.0,18121.0,303.0,14225.0,17771.0,285.0,176.0,350.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,23249.0,28344.0,473.0,21886.0,26132.0,437.0,1363.0,2212.0,36.0,1.0,2.0,0.0,0.0,0.0,1.0
26002,TRLH1/1001710249,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001710249?gameHash=856ed19d3d6dce2e&amp;tab=overview,NA LCS,2016,Summer,0,2016-06-05 23:33:14,2,6.1,100,Blue,team,,Cloud9,,Swain,Fiora,Nidalee,,,2000,1,16,3,42,16,3,1.0,1.0,0.0,0.0,1.0,,,,0.48,0.57,0.0,3.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.0,2.0,1.0,1.0,2.0,0.0,58796.0,1763.88,,2382.66,0.0,116.0,3.48,48.0,1.44,27.0,0.0,0.0,62428,40752.0,1222.56,,54160.0,0.0798771,,860.0,139.0,101.0,38.0,29.97,15887.0,19194.0,278.0,14491.0,17187.0,283.0,1396.0,2007.0,-5.0,2.0,5.0,0.0,0.0,0.0,2.0,25124.0,29810.0,451.0,22031.0,27445.0,455.0,3093.0,2365.0,-4.0,4.0,10.0,0.0,0.0,0.0,4.0
26015,TRLH1/1001710250,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001710250?gameHash=5fc1a3a62a465985&amp;tab=overview,NA LCS,2016,Summer,0,2016-06-06 00:32:28,3,6.1,200,Red,team,,Cloud9,,Nidalee,Ryze,Kindred,,,1723,1,13,2,29,13,2,2.0,0.0,0.0,0.0,1.0,,,,0.4527,0.5223,0.0,3.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,9.0,5.0,1.0,1.0,2.0,1.0,46741.0,1627.6611,,2259.6286,0.0,95.0,3.3082,36.0,1.2536,17.0,0.0,0.0,54431,35580.0,1239.0017,,44800.0,0.100574,,732.0,112.0,79.0,33.0,29.3906,17869.0,17059.0,268.0,13924.0,12511.0,198.0,3945.0,4548.0,70.0,3.0,4.0,0.0,0.0,0.0,3.0,25372.0,26059.0,431.0,21430.0,22379.0,366.0,3942.0,3680.0,65.0,3.0,4.0,1.0,1.0,0.0,3.0
27839,TRLH1/1001730049,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001730049?gameHash=e4153bf9fb77978a&amp;tab=overview,NA LCS,2016,Summer,0,2016-06-11 21:39:15,1,6.11,200,Red,team,,Cloud9,,Vladimir,Ryze,Kindred,,,1893,1,11,0,29,11,0,2.0,0.0,0.0,0.0,1.0,,,,0.3487,0.3487,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,11.0,2.0,1.0,1.0,3.0,0.0,40558.0,1285.5151,,2294.7385,0.0,106.0,3.3597,29.0,0.9192,19.0,0.0,0.0,62276,41691.0,1321.4263,,54550.0,0.21748,,819.0,179.0,116.0,63.0,31.6323,15442.0,16433.0,263.0,14538.0,13820.0,219.0,904.0,2613.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,24714.0,27829.0,441.0,21634.0,23379.0,367.0,3080.0,4450.0,74.0,1.0,1.0,0.0,0.0,0.0,1.0
27862,TRLH1/1001730060,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001730060?gameHash=2bd21ca63a29c3e3&amp;tab=overview,NA LCS,2016,Summer,0,2016-06-11 22:39:51,2,6.11,100,Blue,team,,Cloud9,,Vladimir,Trundle,Braum,,,3434,0,16,18,45,16,18,4.0,0.0,0.0,0.0,1.0,,,,0.2796,0.5941,1.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,6.0,11.0,0.0,0.0,1.0,5.0,114359.0,1998.1188,,3256.2842,0.0,179.0,3.1275,84.0,1.4677,30.0,0.0,0.0,99995,63692.0,1112.848,,87720.0,-0.0920376,,1538.0,239.0,206.0,33.0,31.0483,14929.0,15814.0,260.0,13516.0,14839.0,209.0,1413.0,975.0,51.0,1.0,1.0,0.0,0.0,0.0,1.0,23523.0,26594.0,457.0,21631.0,25358.0,360.0,1892.0,1236.0,97.0,1.0,1.0,0.0,0.0,0.0,1.0
27875,TRLH1/1001730061,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001730061?gameHash=5e37778102abc70d&amp;tab=overview,NA LCS,2016,Summer,0,2016-06-11 23:57:51,3,6.11,200,Red,team,,Cloud9,,Vladimir,Ryze,Kindred,,,1797,1,23,1,47,23,1,4.0,1.0,0.0,0.0,1.0,,,,0.7679,0.8013,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,4.0,1.0,1.0,1.0,0.0,60254.0,2011.8197,,2074.9917,0.0,92.0,3.0718,22.0,0.7346,17.0,0.0,0.0,58133,38528.0,1286.4107,,51595.0,0.165628,,690.0,127.0,99.0,28.0,27.2788,15979.0,16889.0,258.0,13944.0,15149.0,231.0,2035.0,1740.0,27.0,3.0,5.0,0.0,0.0,0.0,3.0,25415.0,27541.0,416.0,22101.0,25030.0,403.0,3314.0,2511.0,13.0,6.0,10.0,0.0,0.0,0.0,6.0
28199,TRLH1/1001730100,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001730100?gameHash=95c0b0330487f2ca&amp;tab=overview,NA LCS,2016,Summer,0,2016-06-12 20:57:59,1,6.11,200,Red,team,,Cloud9,,Ryze,Vladimir,Kindred,,,2082,1,15,6,31,15,6,1.0,0.0,0.0,0.0,1.0,,,,0.4323,0.6052,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,11.0,2.0,1.0,1.0,3.0,0.0,84100.0,2423.6311,,2981.2968,0.0,116.0,3.3429,45.0,1.2968,20.0,0.0,0.0,67041,44529.0,1283.2565,,58775.0,0.103144,,912.0,165.0,142.0,23.0,31.0375,15768.0,19005.0,315.0,15120.0,18582.0,309.0,648.0,423.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,24088.0,31032.0,508.0,23220.0,30094.0,495.0,868.0,938.0,13.0,3.0,3.0,2.0,2.0,2.0,3.0
28222,TRLH1/1001730115,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001730115?gameHash=bc139107dd29c6ea&amp;tab=overview,NA LCS,2016,Summer,0,2016-06-12 22:00:24,2,6.11,100,Blue,team,,Cloud9,,Vladimir,Kindred,Varus,,,2483,1,21,10,58,21,10,4.0,0.0,0.0,0.0,1.0,,,,0.5075,0.7491,1.0,3.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.0,3.0,1.0,1.0,1.0,0.0,137662.0,3326.5083,,3292.8715,0.0,132.0,3.1897,51.0,1.2324,19.0,0.0,0.0,78097,51494.0,1244.3174,,65750.0,0.0243227,,1038.0,192.0,141.0,51.0,29.7221,15098.0,18520.0,290.0,14209.0,17896.0,269.0,889.0,624.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,22511.0,29584.0,467.0,22931.0,29450.0,458.0,-420.0,134.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0
