,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Taliyah,1,1,0,100%,3,3,11,4.67,255,6,15,353,60.9%,13%,18.4%
Udyr,1,1,0,100%,6,1,10,16,207,6.2,13.4,401,84.2%,31.6%,20.1%
Jarvan IV,1,0,1,0%,1,3,1,0.67,178,5.01,10,282,66.7%,33.3%,17.3%
Olaf,1,0,1,0%,2,5,3,1,198,5.45,10.8,297,35.7%,14.3%,18.1%
