,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Sejuani,2,0,2,0%,0.5,1.5,6,4.33,179,4.07,12.2,278,76.5%,5.9%,16.3%
Skarner,1,1,0,100%,0,0,10,10,164,4.74,11.3,325,90.9%,0%,16.9%
Karthus,1,0,1,0%,1,4,3,1,150,4.82,8.8,284,80%,20%,18.8%
