,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Lucian,4,3,1,75%,5.75,0.5,6,23.5,321.75,10.74,-,-,78.3%,38.3%,-
Ezreal,2,2,0,100%,4,0.5,8.5,25,294.5,9.59,-,-,69.4%,22.2%,-
Kai'Sa,1,0,1,0%,2,2,2,2,426,11.74,15.8,435,44.4%,22.2%,26%
