,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Braum,1,0,1,0%,0,2,1,0.5,52,1.77,6,203,20%,0%,13.4%
Morgana,1,0,1,0%,2,3,2,1.33,7,0.29,6,250,100%,50%,16.6%
