,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Jarvan IV,4,2,2,50%,0,2.75,9.75,3.55,137,3.83,9.5,266,90.7%,0%,16.2%
Olaf,2,2,0,100%,3,1.5,4,4.67,199,4.75,12.8,305,66.7%,28.6%,18.2%
Trundle,2,0,2,0%,1,2,5,3,146.5,4.61,8.7,274,75%,12.5%,17.1%
Karthus,1,0,1,0%,1,5,5,1.2,264,6.57,12.7,317,100%,16.7%,20.2%
