,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Graves,3,2,1,66.7%,6.67,3,6,4.22,193.67,7.11,11.9,436,66.7%,35.1%,22.8%
Kindred,2,2,0,100%,4,2.5,7.5,4.6,156.5,6.31,9.8,395,60.5%,21.1%,20.3%
Ekko,1,1,0,100%,2,1,9,11,204,6.64,11.6,378,68.8%,12.5%,19.7%
Olaf,1,1,0,100%,9,0,8,17,208,7.03,13.4,452,63%,33.3%,21.7%
Rek'Sai,1,1,0,100%,10,2,14,12,175,6.24,12.6,450,82.8%,34.5%,21.4%
Sejuani,1,1,0,100%,5,2,8,6.5,211,7.82,11.2,414,50%,19.2%,19.9%
Trundle,1,1,0,100%,1,3,9,3.33,170,4.7,11.9,330,83.3%,8.3%,18.3%
Volibear,1,1,0,100%,3,2,12,7.5,203,5.01,13.1,323,78.9%,15.8%,17.6%
