,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Senna,5,3,2,60%,1.8,0.8,7.4,11.5,240.6,8.87,11,405,80.7%,15.8%,22.5%
Ashe,3,2,1,66.7%,4,2.33,6.33,4.43,286.33,9.42,13.2,434,59.6%,23.1%,22.8%
Jhin,3,1,2,33.3%,1.33,0.33,3.33,14,312,9.52,13,397,63.6%,18.2%,23.4%
