,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
LeBlanc,2,1,1,50%,3,2,4,3.5,259.5,8.66,12.2,406,43.8%,18.8%,21.3%
Nautilus,2,1,1,50%,3.5,6.5,8.5,1.85,188,5.7,11.5,347,57.1%,16.7%,18.9%
Qiyana,2,1,1,50%,4.5,3,5.5,3.33,262.5,8.06,13.9,427,47.6%,21.4%,22.7%
Renekton,2,0,2,0%,1,5,5,1.2,218.5,7.74,10,355,50%,8.3%,20.4%
Lucian,1,1,0,100%,5,3,5,3.33,429,10.47,20,488,50%,25%,25.8%
Akali,1,0,1,0%,5,5,4,1.8,238,7.34,11.8,365,52.9%,29.4%,21.8%
Ornn,1,0,1,0%,4,3,9,4.33,247,7.19,12,350,76.5%,23.5%,21.4%
Zoe,1,0,1,0%,0,3,1,0.33,257,8.6,10.1,337,50%,0%,22%
