,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Hecarim,3,2,1,66.7%,4.67,2.67,8.33,4.88,228.67,6.61,12.9,373,78%,28%,20.9%
Lillia,3,1,2,33.3%,1.67,1.67,5.67,4.4,199.67,5.94,10.7,319,59.5%,13.5%,18.6%
Sett,2,0,2,0%,1,3,6.5,2.5,157,4.65,9.2,274,55.6%,7.4%,15.9%
Evelynn,1,1,0,100%,4,0,5,9,197,8.01,10.7,437,50%,22.2%,21.5%
Graves,1,1,0,100%,5,2,8,6.5,218,6.56,14.4,434,68.4%,26.3%,22.2%
Sejuani,1,0,1,0%,1,3,4,1.67,160,6.18,8.2,318,83.3%,16.7%,19.9%
