,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
63492,ESPORTSTMNT06/810035,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/810035?gameHash=5bfac9401066a725&amp;tab=overview,LCK,2018,Summer,1,2018-08-12 09:02:36,2,8.15,100,Blue,team,,Afreeca Freecs,,Ashe,Morgana,Tahm Kench,Dr. Mundo,Ryze,2197,1,20,3,51,20,3,2.0,0.0,0.0,0.0,1.0,,,,0.5462,0.6281,1.0,4.0,0.0,4.0,0.0,3.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,11.0,0.0,1.0,1.0,3.0,0.0,85870,2345.107,,2883.5503,2227.6195,169,4.6154,73,1.9936,61,337.0,9.2035,74673,50886,1389.695,,66858.0,0.250486,,1081.0,247,141,40,36.2676,16582.0,18544.0,307.0,15014.0,19131.0,348.0,1568.0,-587.0,-41.0,3.0,8.0,0.0,0.0,0.0,3.0,24696.0,30279.0,516.0,22535.0,29628.0,543.0,2161.0,651.0,-27.0,3.0,8.0,0.0,0.0,0.0,3.0
64213,ESPORTSTMNT06/800231,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/800231?gameHash=207f96ecd920393d&amp;tab=overview,LCK,2018,Summer,1,2018-08-15 07:19:42,1,8.15,200,Red,team,,Afreeca Freecs,,Aatrox,Tahm Kench,Ashe,Morgana,Ezreal,2178,1,20,7,40,20,7,3.0,0.0,0.0,0.0,1.0,,,,0.551,0.7438,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,9.0,1.0,1.0,1.0,2.0,0.0,54978,1514.5455,,2488.6226,2892.3416,154,4.2424,79,2.1763,62,357.0,9.8347,69874,46280,1274.9311,,65225.0,0.112551,,1037.0,223,162,11,34.7107,15367.0,19530.0,314.0,15697.0,19182.0,331.0,-330.0,348.0,-17.0,2.0,2.0,2.0,2.0,2.0,2.0,24542.0,32528.0,505.0,23858.0,31302.0,542.0,684.0,1226.0,-37.0,6.0,6.0,2.0,2.0,2.0,6.0
64237,ESPORTSTMNT06/810182,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/810182?gameHash=e9434c98bf96550f&amp;tab=overview,LCK,2018,Summer,1,2018-08-15 08:44:23,2,8.15,200,Red,team,,Afreeca Freecs,,Aatrox,Ashe,Tahm Kench,Miss Fortune,Ezreal,1737,1,15,2,31,15,2,1.0,0.0,0.0,0.0,1.0,,,,0.5181,0.5872,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,8.0,2.0,1.0,1.0,1.0,0.0,41552,1435.3022,,1652.5734,1487.1157,132,4.5596,46,1.5889,44,272.0,9.3955,56833,37738,1303.5579,,47750.0,0.109728,,888.0,195,120,15,37.4093,16186.0,19501.0,333.0,14682.0,18667.0,330.0,1504.0,834.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,27141.0,32311.0,538.0,21703.0,28186.0,496.0,5438.0,4125.0,42.0,7.0,15.0,0.0,0.0,0.0,7.0
64261,ESPORTSTMNT06/810183,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/810183?gameHash=fb2149e3606c7419&amp;tab=overview,LCK,2018,Summer,1,2018-08-15 09:38:21,3,8.15,200,Red,team,,Afreeca Freecs,,Aatrox,Ashe,Tahm Kench,Trundle,Sejuani,2321,0,6,10,14,6,10,0.0,0.0,0.0,0.0,1.0,,,,0.1551,0.4136,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,8.0,1.0,1.0,0.0,1.0,44327,1145.894,,2119.3365,2496.9927,209,5.4028,78,2.0164,82,394.0,10.1853,62438,37386,966.4627,,59960.0,-0.0593114,,1089.0,212,171,0,33.6321,15220.0,18244.0,269.0,14519.0,17870.0,309.0,701.0,374.0,-40.0,3.0,3.0,0.0,0.0,0.0,3.0,22547.0,28836.0,447.0,23000.0,28970.0,490.0,-453.0,-134.0,-43.0,3.0,3.0,2.0,2.0,4.0,3.0
64285,ESPORTSTMNT06/810190,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/810190?gameHash=b4ca787543db70aa&amp;tab=overview,LCK,2018,Summer,1,2018-08-15 10:38:40,4,8.15,200,Red,team,,Afreeca Freecs,,Aatrox,Ashe,Tahm Kench,Zoe,Camille,2189,1,15,5,40,15,5,2.0,0.0,0.0,0.0,1.0,,,,0.4111,0.5482,1.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,8.0,0.0,1.0,1.0,1.0,0.0,71822,1968.6249,,1708.095,1525.1074,154,4.2211,78,2.138,61,363.0,9.9497,69088,45382,1243.9105,,54870.0,0.0136704,,1103.0,215,140,6,36.1261,16020.0,18865.0,290.0,15359.0,18006.0,327.0,661.0,859.0,-37.0,2.0,4.0,2.0,2.0,4.0,2.0,23426.0,30073.0,489.0,23712.0,29630.0,541.0,-286.0,443.0,-52.0,2.0,4.0,3.0,3.0,5.0,2.0
65568,ESPORTSTMNT06/800658,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/800658?gameHash=e7c12a964880d3ac&amp;tab=overview,LCK,2018,Summer,1,2018-08-18 07:23:32,1,8.15,100,Blue,team,,Afreeca Freecs,,Morgana,Tahm Kench,Kai'Sa,Trundle,Cho'Gath,2827,0,5,12,14,5,12,0.0,0.0,0.0,0.0,1.0,,,,0.1061,0.3608,0.0,1.0,5.0,1.0,3.0,0.0,0.0,1.0,0.0,,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,10.0,1.0,1.0,0.0,1.0,63857,1355.2954,,3287.9236,3045.2706,177,3.7566,100,2.1224,54,418.0,8.8716,78619,48406,1027.3647,,78283.0,-0.0940057,,1428.0,242,187,0,35.4439,14901.0,19235.0,329.0,14897.0,19147.0,338.0,4.0,88.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,24225.0,32091.0,555.0,23170.0,31811.0,568.0,1055.0,280.0,-13.0,1.0,3.0,0.0,0.0,0.0,1.0
65701,ESPORTSTMNT06/800678,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/800678?gameHash=9d800dfe7cf375d4&amp;tab=overview,LCK,2018,Summer,1,2018-08-18 08:59:05,2,8.15,200,Red,team,,Afreeca Freecs,,Aatrox,Kai'Sa,Tahm Kench,Cho'Gath,Yasuo,2521,1,7,4,10,7,4,1.0,1.0,0.0,0.0,0.0,,,,0.1666,0.2618,0.0,4.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,11.0,3.0,1.0,1.0,3.0,0.0,65557,1560.2618,,1765.8469,1342.4197,216,5.1408,84,1.9992,76,446.0,10.6148,78780,51688,1230.1785,,72400.0,0.126675,,1275.0,324,192,37,38.0563,14914.0,18643.0,339.0,14956.0,19105.0,344.0,-42.0,-462.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,22852.0,30043.0,536.0,24497.0,31011.0,546.0,-1645.0,-968.0,-10.0,1.0,2.0,2.0,2.0,2.0,1.0
65760,ESPORTSTMNT06/800691,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/800691?gameHash=f2a76a98564e7f2f&amp;tab=overview,LCK,2018,Summer,1,2018-08-18 10:04:08,3,8.15,100,Blue,team,,Afreeca Freecs,,Ryze,Tahm Kench,Miss Fortune,Gnar,Orianna,2142,1,8,8,13,8,8,1.0,0.0,0.0,0.0,1.0,,,,0.2241,0.4482,1.0,3.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,11.0,2.0,1.0,1.0,3.0,0.0,74398,2083.9776,,2242.6891,1876.5826,192,5.3782,70,1.9608,76,397.0,11.1204,70482,47256,1323.6975,,63615.0,0.106056,,1159.0,283,150,39,40.3922,15127.0,19720.0,356.0,15025.0,19051.0,337.0,102.0,669.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,23641.0,32999.0,601.0,23078.0,31028.0,550.0,563.0,1971.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
65832,ESPORTSTMNT06/800707,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/800707?gameHash=740b92dddaaec9f1&amp;tab=overview,LCK,2018,Summer,1,2018-08-18 11:08:06,4,8.15,100,Blue,team,,Afreeca Freecs,,Ryze,Tahm Kench,Morgana,Gnar,Zoe,1956,0,6,17,10,6,17,1.0,0.0,0.0,0.0,1.0,,,,0.184,0.7055,0.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,4.0,42942,1317.2393,,3561.6258,2793.3129,107,3.2822,45,1.3804,44,214.0,6.5644,52390,31061,952.7914,,51458.0,-0.209269,,948.0,145,112,0,33.5276,16571.0,18795.0,290.0,17790.0,20246.0,320.0,-1219.0,-1451.0,-30.0,5.0,7.0,7.0,7.0,15.0,5.0,24025.0,29073.0,475.0,26912.0,32454.0,548.0,-2887.0,-3381.0,-73.0,5.0,7.0,7.0,7.0,15.0,5.0
65844,ESPORTSTMNT06/800711,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/800711?gameHash=d5a45bc67bcc80c5&amp;tab=overview,LCK,2018,Summer,1,2018-08-18 12:03:29,5,8.15,100,Blue,team,,Afreeca Freecs,,Ryze,Olaf,Soraka,Jayce,Dr. Mundo,2537,0,5,15,14,5,15,0.0,0.0,0.0,0.0,1.0,,,,0.1182,0.473,0.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,7.0,6.0,0.0,1.0,1.0,1.0,96085,2272.4084,,2658.7308,2327.6311,210,4.9665,73,1.7264,69,412.0,9.7438,72478,45223,1069.5231,,71340.0,0.0976183,,1127.0,288,176,29,33.4647,15167.0,17843.0,321.0,15161.0,18605.0,331.0,6.0,-762.0,-10.0,1.0,1.0,1.0,1.0,2.0,1.0,24337.0,29996.0,548.0,23157.0,30381.0,556.0,1180.0,-385.0,-8.0,1.0,1.0,1.0,1.0,2.0,1.0
