,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Rek'Sai,3,2,1,66.7%,3.67,2.67,5,3.25,138.67,4.62,10.3,343,52%,22%,18%
Sejuani,2,1,1,50%,3,1.5,3.5,4.33,157,4.59,10.7,311,50%,23.1%,17.3%
Lee Sin,1,1,0,100%,4,1,6,10,110,5.78,8,420,66.7%,26.7%,20.5%
Urgot,1,0,1,0%,2,6,5,1.17,141,5.07,8.7,315,77.8%,22.2%,19.4%
