,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Ezreal,6,5,1,83.3%,4.17,1.83,4,4.45,394.5,9.36,18.9,449,68.1%,34.7%,24.2%
Kai'Sa,3,2,1,66.7%,2.33,1.67,2.33,2.8,318.67,10.14,13.7,436,50%,25%,23.8%
Lucian,3,2,1,66.7%,2,1.33,5.67,5.75,352.33,9.83,14.9,417,76.7%,20%,23.5%
Kalista,2,2,0,100%,6.5,0.5,8,29,295.5,9.36,15.7,496,74.4%,33.3%,24.9%
Varus,2,1,1,50%,2.5,1,2.5,5,369.5,9.16,16.6,412,62.5%,31.3%,23.2%
Cassiopeia,1,1,0,100%,7,1,7,14,322,7.36,17.9,409,93.3%,46.7%,24.8%
Sivir,1,0,1,0%,6,3,5,3.67,472,10.49,22.1,490,78.6%,42.9%,28.1%
