,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Sivir,2,0,2,0%,3,2,3.5,3.25,392,11.06,16.5,466,59.1%,27.3%,26.1%
Ezreal,1,1,0,100%,4,0,13,17,372,8.96,18.6,449,85%,20%,22.7%
Kai'Sa,1,0,1,0%,2,4,9,2.75,344,9.94,14.3,412,68.8%,12.5%,23.5%
