,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
LeBlanc,3,2,1,66.7%,3.33,0.67,3.33,10,276.33,8.75,12.5,396,58.8%,29.4%,23.2%
Kassadin,2,2,0,100%,13.5,2,9,11.25,294,9.01,17.8,546,77.6%,46.6%,26.8%
Qiyana,1,1,0,100%,6,0,9,15,288,7.93,15.4,424,57.7%,23.1%,21.8%
Syndra,1,1,0,100%,6,2,3,4.5,320,9.05,15.4,435,64.3%,42.9%,24.7%
