,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Thresh,4,4,0,100%,1,2.5,9.5,4.2,32.5,0.96,8.5,251,60.9%,5.8%,12.9%
Nautilus,4,2,2,50%,1.75,5.5,9.5,2.05,35,0.96,8.6,237,68.2%,10.6%,12.8%
Bard,1,0,1,0%,0,8,13,1.63,37,1.03,7.9,221,81.3%,0%,12.2%
Leona,1,0,1,0%,0,7,1,0.14,36,1.39,5.3,205,25%,0%,13.6%
Pyke,1,0,1,0%,1,5,5,1.2,68,1.63,10,240,54.5%,9.1%,13.8%
