,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Kai'Sa,4,3,1,75%,7.5,1.25,4.75,9.8,361.5,10.76,17.6,524,72.1%,44.1%,27.9%
Sivir,4,3,1,75%,6.5,1,6.75,13.25,439.5,11.73,19.3,516,77.9%,38.2%,27.6%
Ezreal,2,2,0,100%,6,0.5,5.5,23,286.5,9.91,14.5,501,69.7%,36.4%,24.9%
Lucian,2,1,1,50%,5,3,6,3.67,287,9.51,13.5,446,64.7%,29.4%,23.8%
Vayne,2,1,1,50%,6,2,7,6.5,366.5,9.77,16.7,445,76.5%,35.3%,24.7%
Xayah,2,1,1,50%,5,2,0.5,2.75,344,10.59,14.9,457,45.8%,41.7%,26.4%
Jinx,1,0,1,0%,3,3,5,2.67,297,9.43,13,414,61.5%,23.1%,23.9%
Tristana,1,0,1,0%,1,3,0,0.33,391,10.88,14.7,410,100%,100%,26.5%
