,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Orianna,4,2,2,50%,1.25,1.75,5,3.57,324,9.52,13.4,394,61%,12.2%,22.1%
Corki,3,3,0,100%,4,0.33,6,30,256.33,9.4,13.1,480,65.2%,26.1%,23.6%
Viktor,3,3,0,100%,3,1.33,5.67,6.5,292.33,8.94,13.9,426,66.7%,23.1%,22.8%
Azir,3,1,2,33.3%,2.67,1.67,3,3.4,329.33,10.09,13.4,411,85%,40%,24.4%
LeBlanc,3,1,2,33.3%,4.33,2,4.33,4.33,292.33,7.85,14.4,386,59.1%,29.5%,21.6%
Cassiopeia,1,1,0,100%,0,0,5,5,302,9.58,11.9,377,71.4%,0%,20.6%
Syndra,1,1,0,100%,1,3,7,2.67,373,8.67,17,395,50%,6.3%,20.6%
Irelia,1,0,1,0%,1,3,0,0.33,249,8.48,9.9,338,50%,50%,22%
