,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Varus,5,4,1,80%,5.2,1.4,5,7.29,289.2,8.93,13.8,428,57.3%,29.2%,22.8%
Aphelios,2,2,0,100%,7.5,3,12.5,6.67,215,7.81,13.7,497,66.7%,25%,24.1%
