,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Senna,4,3,1,75%,5.75,0.5,9.5,30.5,262.5,9.13,13.4,466,80.3%,30.3%,24.8%
Miss Fortune,2,2,0,100%,9,1.5,8,11.33,337.5,11.28,16.5,552,75.6%,40%,27.1%
Varus,1,0,1,0%,3,2,3,3,541,11.44,22.1,467,60%,30%,28.9%
