,result,kills,deaths,dragons,elders,heralds,barons,goldat15,golddiffat15
92,0,7,21,1.0,0.0,0.0,0.0,23650.0,-5910.0
93,0,5,18,1.0,0.0,0.0,0.0,23426.0,-2326.0
94,1,18,5,4.0,0.0,2.0,1.0,25752.0,2326.0
95,1,15,3,3.0,0.0,1.0,1.0,24618.0,-88.0
96,0,3,15,1.0,0.0,1.0,0.0,24706.0,88.0
97,1,17,18,5.0,1.0,1.0,2.0,24485.0,-758.0
98,0,18,17,1.0,0.0,1.0,0.0,25243.0,758.0
99,1,11,2,2.0,0.0,1.0,1.0,26728.0,4344.0
100,0,1,12,2.0,0.0,1.0,0.0,22384.0,-4344.0
101,1,20,3,4.0,0.0,2.0,1.0,28003.0,3852.0
102,0,3,20,0.0,0.0,0.0,0.0,24151.0,-3852.0
103,1,21,10,4.0,0.0,1.0,1.0,24708.0,-118.0
104,0,10,21,3.0,0.0,1.0,0.0,24826.0,118.0
105,1,16,3,2.0,0.0,2.0,1.0,26793.0,3078.0
106,0,3,16,1.0,0.0,0.0,0.0,23715.0,-3078.0
107,0,6,18,2.0,0.0,0.0,0.0,23399.0,-2879.0
108,1,18,6,3.0,0.0,2.0,1.0,26278.0,2879.0
109,0,5,15,3.0,0.0,1.0,0.0,22541.0,-2804.0
110,1,15,5,2.0,0.0,1.0,3.0,25345.0,2804.0
111,1,19,7,1.0,0.0,0.0,1.0,24518.0,580.0
112,0,7,19,4.0,0.0,2.0,0.0,23938.0,-580.0
113,0,3,16,1.0,0.0,1.0,0.0,22986.0,-3839.0
114,1,16,3,4.0,0.0,1.0,1.0,26825.0,3839.0
115,1,21,5,3.0,0.0,2.0,1.0,27464.0,5465.0
116,0,5,21,0.0,0.0,0.0,0.0,21999.0,-5465.0
117,0,4,15,1.0,0.0,0.0,0.0,23683.0,-4007.0
118,1,15,4,3.0,0.0,2.0,2.0,27690.0,4007.0
119,1,12,2,3.0,0.0,2.0,1.0,25660.0,1645.0
120,0,2,12,1.0,0.0,0.0,0.0,24015.0,-1645.0
121,1,11,2,4.0,0.0,1.0,0.0,25486.0,1855.0
122,0,2,11,1.0,0.0,1.0,1.0,23631.0,-1855.0
123,1,14,6,2.0,0.0,2.0,1.0,24364.0,-133.0
124,0,6,14,2.0,0.0,0.0,0.0,24497.0,133.0
125,1,17,10,3.0,0.0,0.0,1.0,25007.0,-1560.0
126,0,10,17,3.0,0.0,2.0,1.0,26567.0,1560.0
127,1,23,10,4.0,0.0,2.0,1.0,25698.0,-266.0
128,0,10,23,1.0,0.0,0.0,0.0,25964.0,266.0
129,1,10,8,4.0,0.0,2.0,1.0,26711.0,-373.0
130,0,8,10,2.0,0.0,0.0,0.0,27084.0,373.0
131,1,17,3,4.0,0.0,2.0,1.0,27841.0,4734.0
132,0,3,17,0.0,0.0,0.0,0.0,23107.0,-4734.0
133,0,11,11,3.0,0.0,2.0,0.0,26530.0,3369.0
134,1,11,11,3.0,0.0,0.0,2.0,23161.0,-3369.0
135,0,0,12,0.0,0.0,0.0,0.0,21168.0,-3714.0
136,1,12,0,4.0,0.0,2.0,1.0,24882.0,3714.0
137,1,25,5,4.0,0.0,2.0,1.0,26487.0,3248.0
138,0,5,25,0.0,0.0,0.0,0.0,23239.0,-3248.0
139,1,28,25,4.0,0.0,1.0,2.0,25639.0,-71.0
140,0,25,29,3.0,0.0,1.0,1.0,25710.0,71.0
141,0,5,18,0.0,0.0,0.0,0.0,22384.0,-6049.0
142,1,18,5,3.0,0.0,2.0,1.0,28433.0,6049.0
143,1,11,4,3.0,0.0,2.0,1.0,26629.0,4155.0
144,0,4,11,1.0,0.0,0.0,0.0,22474.0,-4155.0
145,1,17,7,3.0,0.0,1.0,1.0,26007.0,-427.0
146,0,7,17,2.0,0.0,0.0,0.0,26434.0,427.0
147,1,20,11,4.0,0.0,1.0,1.0,26513.0,1317.0
148,0,11,20,0.0,0.0,0.0,0.0,25196.0,-1317.0
149,1,6,6,4.0,0.0,1.0,2.0,23673.0,-730.0
150,0,6,6,1.0,1.0,1.0,0.0,24403.0,730.0
151,0,13,19,1.0,1.0,0.0,0.0,22929.0,-3210.0
152,1,19,13,5.0,1.0,2.0,2.0,26139.0,3210.0
153,0,9,19,0.0,0.0,1.0,0.0,24309.0,-2798.0
154,1,19,9,4.0,0.0,1.0,1.0,27107.0,2798.0
155,1,11,4,3.0,0.0,1.0,2.0,24810.0,1649.0
156,0,4,11,2.0,0.0,0.0,0.0,23161.0,-1649.0
157,1,17,9,2.0,0.0,1.0,2.0,26749.0,3168.0
158,0,9,17,3.0,0.0,1.0,0.0,23581.0,-3168.0
159,1,20,4,1.0,0.0,1.0,1.0,27297.0,1925.0
160,0,4,20,2.0,0.0,1.0,0.0,25372.0,-1925.0
161,1,19,4,4.0,0.0,1.0,1.0,26497.0,3090.0
162,0,4,19,0.0,0.0,1.0,0.0,23407.0,-3090.0
163,1,16,6,3.0,0.0,2.0,1.0,27369.0,1797.0
164,0,6,16,1.0,0.0,0.0,0.0,25572.0,-1797.0
165,0,14,25,0.0,0.0,0.0,1.0,25480.0,-27.0
166,1,25,14,4.0,0.0,2.0,1.0,25507.0,27.0
167,1,18,7,5.0,1.0,0.0,1.0,23712.0,-1669.0
168,0,7,18,0.0,0.0,2.0,1.0,25381.0,1669.0
169,1,19,6,1.0,0.0,1.0,1.0,26105.0,2764.0
170,0,6,19,3.0,0.0,1.0,0.0,23341.0,-2764.0
171,0,14,27,2.0,0.0,2.0,0.0,25905.0,3755.0
172,1,27,14,3.0,0.0,0.0,2.0,22150.0,-3755.0
173,1,10,1,3.0,0.0,2.0,0.0,27807.0,5439.0
174,0,1,10,1.0,0.0,0.0,0.0,22368.0,-5439.0
175,0,10,20,3.0,0.0,2.0,1.0,26088.0,2178.0
176,1,20,10,1.0,0.0,0.0,0.0,23910.0,-2178.0
177,0,6,19,2.0,0.0,2.0,0.0,24781.0,-581.0
178,1,22,13,1.0,0.0,2.0,1.0,26794.0,2490.0
179,1,19,13,3.0,0.0,2.0,2.0,26777.0,1714.0
180,0,6,19,0.0,0.0,2.0,0.0,25111.0,-1887.0
181,1,19,6,4.0,0.0,0.0,1.0,26998.0,1887.0
182,1,25,13,2.0,,,1.0,,
183,0,13,25,1.0,,,0.0,,
184,1,16,4,3.0,0.0,2.0,1.0,25872.0,1198.0
185,0,4,16,1.0,0.0,0.0,0.0,24674.0,-1198.0
186,0,16,23,2.0,0.0,2.0,1.0,27289.0,3311.0
187,1,23,16,3.0,0.0,0.0,0.0,23978.0,-3311.0
188,1,15,8,5.0,1.0,2.0,1.0,23856.0,-601.0
189,0,8,15,0.0,0.0,0.0,0.0,24457.0,601.0
190,0,1,18,0.0,0.0,1.0,0.0,22338.0,-3461.0
191,1,18,1,3.0,0.0,1.0,1.0,25799.0,3461.0
192,1,14,6,4.0,0.0,1.0,2.0,26447.0,1294.0
193,0,6,14,1.0,0.0,1.0,0.0,25153.0,-1294.0
194,0,5,10,2.0,0.0,1.0,0.0,24873.0,30.0
195,1,10,6,2.0,0.0,1.0,1.0,24843.0,-30.0
196,1,21,8,2.0,,,1.0,,
197,0,8,21,1.0,,,0.0,,
