,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Gangplank,3,2,1,66.7%,3.33,0.67,5.33,13,209,7.97,11.7,446,59.1%,22.7%,23.5%
Gnar,3,2,1,66.7%,4,3,6.33,3.44,220.67,7.53,11.3,386,54.4%,21.1%,20.2%
Camille,2,2,0,100%,6,1.5,2.5,5.67,191.5,7.77,11.1,449,44.7%,31.6%,21.1%
Jayce,2,2,0,100%,2,2,8,5,233.5,8.29,11.5,409,69%,13.8%,21%
Renekton,2,1,1,50%,3.5,2.5,3,2.6,262.5,9.02,12.9,444,50%,26.9%,24.6%
Jax,1,1,0,100%,3,2,4,3.5,186,7.61,10.5,431,58.3%,25%,22.2%
Kennen,1,1,0,100%,6,2,5,5.5,234,7.21,12.8,394,47.8%,26.1%,19.4%
