,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Lee Sin,4,2,2,50%,2.75,3,5.5,2.75,152,5.68,9.2,343,63.5%,21.2%,18.8%
Rek'Sai,2,2,0,100%,6,1.5,4.5,7,169.5,6.51,10.6,406,55.3%,31.6%,20%
Jarvan IV,2,1,1,50%,1.5,3,6,2.5,182,5.91,10.1,327,68.2%,13.6%,18.4%
Elise,1,1,0,100%,1,1,7,8,157,6.23,9,356,50%,6.3%,17.3%
