,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Sejuani,2,2,0,100%,1.5,1.5,6.5,5.33,168,5.6,10.7,357,72.7%,13.6%,17.8%
Gragas,1,1,0,100%,4,3,12,5.33,143,5.41,10.1,382,61.5%,15.4%,17.6%
