,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Gangplank,2,1,1,50%,3.5,2.5,4.5,3.2,286,8.65,14.3,432,69.6%,30.4%,22.7%
Renekton,1,1,0,100%,4,2,7,5.5,203,8.43,11.1,463,35.5%,12.9%,19.8%
Vladimir,1,1,0,100%,4,1,1,5,262,9.01,12,413,31.3%,25%,20.3%
Karma,1,0,1,0%,0,4,8,2,210,6.56,9.6,301,72.7%,0%,17.6%
Lucian,1,0,1,0%,2,6,2,0.67,207,6.43,10,312,30.8%,15.4%,17.9%
