,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Senna,4,2,2,50%,1.75,1.75,7,5,216.25,7.34,10.9,369,68.6%,13.7%,21.3%
Ashe,2,2,0,100%,6,0.5,8,28,341,9.78,17.2,493,66.7%,28.6%,25.1%
Kalista,2,1,1,50%,6,2,2.5,4.25,317.5,10.16,15.5,496,54.8%,38.7%,27.1%
Aphelios,1,0,1,0%,1,7,1,0.29,236,8.38,9.7,345,22.2%,11.1%,21%
Draven,1,0,1,0%,3,2,5,4,385,8.74,19.5,443,100%,37.5%,27.4%
Ezreal,1,0,1,0%,2,5,8,2,264,7.83,12.2,362,62.5%,12.5%,21.3%
