,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Camille,2,1,1,50%,2,3.5,7.5,2.71,172.5,4.5,11.6,302,73.1%,15.4%,16.7%
Jayce,1,1,0,100%,2,3,10,4,259,5.79,15.7,350,80%,13.3%,19%
Lee Sin,1,1,0,100%,5,0,3,8,164,5.02,12.1,369,61.5%,38.5%,19.8%
Rengar,1,0,1,0%,0,2,1,0.5,167,4.58,9.5,261,50%,0%,16.4%
Sejuani,1,0,1,0%,0,2,2,1,183,4.81,10.5,276,28.6%,0%,15.7%
