,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Kennen,7,4,3,57.1%,2.86,4.29,5.86,2.03,258.57,7.92,12.1,371,60.4%,19.8%,20.9%
Wukong,7,2,5,28.6%,2,3.43,2.86,1.42,213.57,7.74,9.9,358,58.6%,24.1%,22%
Jayce,6,3,3,50%,3,2.33,5.83,3.79,317.83,9.34,14.2,417,70.7%,24%,23.7%
Ornn,6,3,3,50%,1.33,2.67,4.33,2.13,277.17,7.97,12.1,348,61.8%,14.5%,20.4%
Lucian,4,0,4,0%,0.75,4.75,1.5,0.47,302.75,9.32,12.1,372,33.3%,11.1%,22.8%
Renekton,3,2,1,66.7%,2.67,2.67,4.67,2.75,242.67,7.48,12.4,381,53.7%,19.5%,21.5%
Gangplank,2,0,2,0%,2.5,4.5,3.5,1.33,248.5,8.51,12.5,429,92.3%,38.5%,25.5%
Camille,1,1,0,100%,3,0,3,6,327,9.2,14.5,407,54.5%,27.3%,21.7%
Irelia,1,1,0,100%,5,3,3,2.67,348,9.55,15.7,431,53.3%,33.3%,24.5%
Karma,1,1,0,100%,1,3,9,3.33,225,5.49,12,294,83.3%,8.3%,17%
Aatrox,1,0,1,0%,1,3,3,1.33,248,8.83,10.4,369,66.7%,16.7%,22.4%
Mordekaiser,1,0,1,0%,1,6,0,0.17,185,7.66,7.5,311,14.3%,14.3%,19.6%
Sett,1,0,1,0%,1,4,2,0.75,300,8.12,12.6,342,60%,20%,21.7%
Sylas,1,0,1,0%,2,4,0,0.5,259,7.71,11,329,40%,40%,20.7%
