,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Gragas,4,3,1,75%,2.25,3,9.5,3.92,151.75,4.53,10.1,301,77%,14.8%,17.4%
Sejuani,4,1,3,25%,1.25,3,3.25,1.5,153.25,4.48,9.1,268,62.1%,17.2%,17%
Lee Sin,3,2,1,66.7%,1,2,5.33,3.17,191.33,4.44,11.7,272,57.6%,9.1%,16.7%
Jarvan IV,3,1,2,33.3%,1.33,3.67,11.33,3.45,137.67,3.83,10.1,280,90.5%,9.5%,16.6%
Qiyana,1,1,0,100%,4,4,1,1.25,162,5.39,9.9,328,41.7%,33.3%,18%
Sett,1,1,0,100%,3,1,6,9,175,5.21,10.7,319,69.2%,23.1%,17.5%
Elise,1,0,1,0%,2,2,1,1.5,169,4.28,10.6,269,75%,50%,17.7%
Pantheon,1,0,1,0%,3,6,6,1.5,189,3.95,14.4,300,60%,20%,18.4%
