,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Azir,5,5,0,100%,4,2,5.8,4.9,349,9.51,16.3,443,72.1%,29.4%,23.8%
LeBlanc,3,3,0,100%,5.33,2,5,5.17,309,9.23,15.3,456,70.5%,36.4%,23.1%
Twisted Fate,3,2,1,66.7%,2.33,0.67,6,12.5,313,8.98,15.4,441,71.4%,20%,24%
Syndra,2,2,0,100%,2,2.5,4,2.4,295,9.08,12.9,397,52.2%,17.4%,21.6%
Zoe,2,1,1,50%,3,1.5,3,4,324.5,9.24,14,399,85.7%,42.9%,24%
Akali,1,1,0,100%,9,0,8,17,391,8.72,21.5,479,81%,42.9%,25.5%
Orianna,1,1,0,100%,4,0,4,8,393,9.81,17.5,438,66.7%,33.3%,24.5%
Cassiopeia,1,0,1,0%,0,1,1,1,276,9.76,9.9,349,33.3%,0%,24.2%
