,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Jayce,7,3,4,42.9%,2.43,3.43,4.57,2.04,262.71,8.51,12.4,401,74.2%,25.8%,23.3%
Aatrox,6,3,3,50%,1.83,3,5.5,2.44,216.33,7.08,10.7,350,56.4%,14.1%,19.5%
Ornn,5,1,4,20%,2,2.2,4.4,2.91,239.6,6.97,11.4,332,58.2%,18.2%,19.7%
Quinn,3,3,0,100%,5,3.33,10.33,4.6,291,7.89,15.8,428,65.7%,21.4%,21.9%
Karma,3,2,1,66.7%,1.33,2.33,7.33,3.71,226,6.43,11.1,316,81.3%,12.5%,18.7%
Mordekaiser,3,2,1,66.7%,4.67,3.67,5.33,2.73,236.67,6.51,13.1,360,71.4%,33.3%,20.5%
Volibear,3,0,3,0%,2,2.33,4.33,2.71,240.33,6.82,11.7,332,65.5%,20.7%,20.4%
Sylas,2,1,1,50%,0,2.5,8,3.2,224,6.94,10.2,315,84.2%,0%,18.4%
Wukong,1,1,0,100%,1,0,6,7,204,7.4,10.1,365,50%,7.1%,18.6%
Kennen,1,0,1,0%,2,4,6,2,276,6.48,14,328,53.3%,13.3%,18.6%
Renekton,1,0,1,0%,0,1,1,1,378,9.19,16.1,390,14.3%,0%,22.7%
