,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
LeBlanc,7,6,1,85.7%,3,0.71,5.43,11.8,292,8.1,14.6,405,67%,23.9%,21.5%
Zoe,5,3,2,60%,2.8,1,6,8.8,270.4,8.19,12.7,384,74.6%,23.7%,20.9%
Lissandra,5,2,3,40%,2.2,2.2,5.8,3.64,322.6,9.91,13.7,420,66.7%,18.3%,21.9%
Yasuo,4,3,1,75%,4.5,2.75,4,3.09,288,8.91,13.7,425,70.8%,37.5%,22.1%
Galio,4,2,2,50%,2.5,1.75,8.5,6.29,335.5,8.6,14.8,379,78.6%,17.9%,20.9%
Ryze,4,2,2,50%,4.25,4.5,6.25,2.33,292.5,8.87,13.7,414,73.7%,29.8%,22.2%
Syndra,3,0,3,0%,2,2.67,2,1.5,354,9.45,14.2,380,57.1%,28.6%,23.2%
Akali,2,2,0,100%,4.5,0,4,17,278.5,9.37,13.2,446,68%,36%,22.6%
Urgot,2,2,0,100%,0.5,0,7.5,16,291.5,9.03,12.4,385,59.3%,3.7%,19.5%
Corki,1,1,0,100%,2,0,3,5,348,10.71,14.5,446,62.5%,25%,22.6%
Irelia,1,1,0,100%,8,1,6,14,314,10.64,14.8,503,87.5%,50%,24%
Vladimir,1,1,0,100%,3,1,7,10,391,8.61,19.5,429,83.3%,25%,22.5%
Sion,1,0,1,0%,0,1,1,1,268,7.9,10.9,320,33.3%,0%,18.5%
Swain,1,0,1,0%,1,5,3,0.8,234,7.33,10.1,318,100%,25%,20.7%
Sylas,1,0,1,0%,1,3,0,0.33,260,8.34,10.4,332,50%,50%,20.3%
