,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Malphite,2,2,0,100%,2.5,3.5,15.5,5.14,197,6.45,11.8,385,62.1%,8.6%,18.7%
Ornn,2,1,1,50%,1,2.5,9,4,187,7.1,8.9,336,95.2%,9.5%,18.6%
Zac,2,1,1,50%,0,3.5,6.5,1.86,203.5,6.66,9.7,316,54.2%,0%,18%
Aatrox,1,1,0,100%,5,5,3,1.6,208,6.03,13.7,397,61.5%,38.5%,22%
Maokai,1,1,0,100%,1,1,4,5,270,9.04,11.4,380,50%,10%,19.9%
Gangplank,1,0,1,0%,2,4,3,1.25,346,8.04,17.5,407,83.3%,33.3%,23.3%
Sylas,1,0,1,0%,2,5,1,0.6,166,6.19,8.7,323,50%,33.3%,20%
