,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Lee Sin,15,10,5,66.7%,3.4,2.07,7.33,5.19,171.93,5.76,10.8,362,70.3%,22.3%,19.3%
Volibear,8,7,1,87.5%,3,1,6.75,9.75,175,5.36,11,337,56.1%,17.3%,17.6%
Nidalee,4,3,1,75%,4.25,1.25,5,7.4,209.5,6.74,12,386,64.9%,29.8%,20.4%
Trundle,4,3,1,75%,1,2.25,8.75,4.33,153,4.76,9.8,306,63.9%,6.6%,16.7%
Kindred,2,2,0,100%,1.5,2.5,8,3.8,194.5,6.04,10.7,333,55.9%,8.8%,17.4%
Olaf,2,2,0,100%,3.5,0.5,9,25,166,5.83,10.7,377,73.5%,20.6%,19%
Sejuani,2,1,1,50%,1,1.5,7.5,5.67,177.5,4.98,10.3,288,94.4%,11.1%,16.4%
Jarvan IV,1,1,0,100%,2,2,8,5,164,5.76,9.5,335,90.9%,18.2%,18.5%
Lillia,1,1,0,100%,4,2,7,5.5,224,6.9,12.9,398,36.7%,13.3%,18.3%
Sett,1,1,0,100%,1,4,14,3.75,158,4.53,10.3,296,68.2%,4.5%,15.6%
Graves,1,0,1,0%,0,2,4,2,239,5.89,12.8,315,66.7%,0%,18.7%
Kha'Zix,1,0,1,0%,2,3,3,1.67,181,5.28,9.5,278,71.4%,28.6%,17.3%
Nocturne,1,0,1,0%,0,5,3,0.6,147,5.72,7.4,287,75%,0%,18.9%
