,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Xayah,2,2,0,100%,6,2.5,6,4.8,258,9.44,13.4,489,60%,30%,23.7%
Garen,1,1,0,100%,5,0,5,10,214,7.46,12.7,442,55.6%,27.8%,21.6%
