,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Ezreal,2,2,0,100%,8.5,1.5,9,11.67,419.5,9.28,22.2,490,87.5%,42.5%,25.7%
Vayne,1,1,0,100%,7,2,10,8.5,306,8.77,14.8,425,85%,35%,22.6%
Jinx,1,0,1,0%,2,1,0,2,322,10.29,12.6,403,100%,100%,25.1%
