,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Miss Fortune,12,2,10,16.7%,2,2.08,4.33,3.04,328.25,9.61,13.6,398,76%,24%,24.3%
Aphelios,6,3,3,50%,3.67,1.5,2.67,4.22,322.17,9.38,14.5,423,66.7%,38.6%,25.2%
Varus,4,3,1,75%,2.5,2.75,7.5,3.64,256.5,8.08,12,378,69%,17.2%,22.1%
Kalista,3,2,1,66.7%,4.67,1.67,6,6.4,305.67,8.52,14.4,403,84.2%,36.8%,23.4%
Senna,3,2,1,66.7%,1.67,0.33,5.33,21,41.33,1.27,8.3,254,75%,17.9%,14.7%
Ezreal,3,1,2,33.3%,2.67,2.33,3,2.43,296.33,9.42,13,414,51.5%,24.2%,24.3%
Xayah,2,0,2,0%,3.5,3.5,3,1.86,276.5,8.27,12.5,374,65%,35%,23.2%
Kai'Sa,1,0,1,0%,1,2,0,0.5,196,8,8.6,351,33.3%,33.3%,23.7%
Soraka,1,0,1,0%,0,3,3,1,142,5.85,6.6,270,100%,0%,17.5%
