,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Syndra,4,4,0,100%,7,1.5,5.25,8.17,275,8.56,13.8,430,63.6%,36.4%,23.5%
Zoe,3,3,0,100%,5.67,2,10.33,8,288.33,7.52,15.4,401,68.6%,24.3%,21.6%
LeBlanc,2,1,1,50%,2.5,2,6.5,4.5,244,7.4,12.1,369,64.3%,17.9%,21.5%
Qiyana,2,1,1,50%,7.5,2,6,6.75,242.5,6.97,14.1,405,73%,40.5%,23.1%
Cassiopeia,1,1,0,100%,8,1,7,15,299,10.56,14.4,508,50%,26.7%,23.4%
Ornn,1,1,0,100%,2,1,10,12,196,8.05,10.2,420,57.1%,9.5%,20.9%
Renekton,1,1,0,100%,1,5,5,1.2,217,6.54,11.4,343,28.6%,4.8%,18.5%
Rumble,1,1,0,100%,4,1,12,16,286,8.09,14.2,401,80%,20%,22.5%
Veigar,1,1,0,100%,4,1,10,14,242,6.92,12.5,356,56%,16%,18.6%
Orianna,1,0,1,0%,2,3,1,1,242,7.89,10.4,340,75%,50%,23%
Yasuo,1,0,1,0%,3,3,2,1.67,211,7.45,9.9,348,71.4%,42.9%,23.4%
